한국섬진흥원,한국섬진흥원 2024년 제1차 신규직원 채용 공고,경력15년↑,학력무관,전남 목포시,전남 목포시,정규직,~02.02 (금),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240003769,(11시간전 수정)
오케이엘리베이터(주),"엘리베이터·에스컬레이터, 현장관리 외 신입/경력  채용",신입/경력(연차무관),학력무관,경기 안산시,경기 안산시,정규직,~02.24 (토),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250000968,(8시간전 수정)
키움세무회계컨설팅,키움세무회계 컨설팅 신입사원 모집공고,신입,학력무관,서울 양천구 외,서울 양천구 외,정규직,~02.15 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401160003737,(1일전 수정)
(주)안전하는사람들,[고양시 덕은동]  안전 감시단 모집,경력1년↑,학력무관,경기 고양시,경기 고양시,계약직,상시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230001511,(2일전 등록)
(주)엘에이치사옥관리,"[LH사옥관리] 제 1차 기간제 채용(시설, 경비, 안내, 청소, 급식관리, 취사)",신입/경력(연차무관),학력무관,인천 서구 외,인천 서구 외,계약직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240002321,(1일전 수정)
한국해양조사협회,직원채용 공고[일반직/계약직/체험형 청년인턴],신입/경력(연차무관),학력무관,서울 금천구 외,서울 금천구 외,정규직외,~02.06 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230002807,(2일전 수정)
스튜디오리코(주),[계약직] 한영 번역 검수 (US),신입/경력(연차무관),학력무관,경기 성남시 (재택근무 가능),경기 성남시 (재택근무 가능),계약직,~01.31 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000182,(1일전 등록)
한국방송공사,진주방송국 퇴직자재고용(수신료업무지원)모집공고,신입/경력(연차무관),학력무관,경남 진주시,경남 진주시,계약직,~01.29 (월),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230000018,(1일전 수정)
쿠팡로지스틱스서비스(유),CLS 전국 지게차 대규모 채용,신입/경력(연차무관),학력무관,서울 강남구 외,서울 강남구 외,계약직,상시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240005233,(1일전 수정)
행정안전부,2024년 제1기 행정안전부 청년인턴 채용 공고,신입/경력(연차무관),학력무관,전국,전국,인턴,~01.29 (월),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000819,(1일전 등록)
한전산업개발(주),2024년 상반기 정규직 신입 및 경력사원 공개채용,신입/경력(연차무관),학력무관,경남 사천시 외,경남 사천시 외,정규직,~02.07 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250002679,(8시간전 등록)
